now[ms],AHT_tmp[C],AHT_hum,BMP_temp[C],BMP_pres,gx,gy,gz,ax,ay,az,gtemp,magx,magy,magz,volt
7825,22.10,54.54,22.55,102655,5.618,6.359,-20.061,-0.041,-0.271,0.917,40.34,1022.00,897.00,-842.00,3087.0000
7899,22.11,54.54,22.55,102651,24.603,9.450,8.107,-0.167,-0.303,1.055,40.34,1008.00,891.00,-860.00,3085.0000
7973,22.12,54.56,22.55,102651,12.038,-3.649,21.954,-0.291,-0.305,1.114,40.44,1001.00,897.00,-875.00,3083.0000
8047,22.11,54.57,22.55,102656,-14.275,-18.863,1.328,0.003,-0.350,0.939,40.34,1035.00,925.00,-865.00,3083.0000
8126,22.12,54.61,22.55,102656,9.115,-12.695,22.336,0.034,-0.358,0.914,40.34,1035.00,927.00,-837.00,3085.0000
8200,22.13,54.63,22.56,102652,-14.435,8.160,13.985,-0.102,-0.333,1.019,40.25,1058.00,897.00,-865.00,3085.0000
8274,22.12,54.67,22.56,102652,-14.267,11.748,14.893,-0.204,-0.240,1.039,40.15,1087.00,881.00,-860.00,3085.0000
8348,22.13,54.69,22.56,102656,-2.710,-2.038,4.427,-0.215,-0.161,1.001,40.39,1105.00,873.00,-840.00,3085.0000
8427,22.13,54.75,22.56,102656,-2.450,1.267,-10.092,-0.175,-0.141,0.919,40.25,1092.00,888.00,-840.00,3087.0000
8501,22.14,54.74,22.57,102654,3.221,6.992,0.962,-0.225,-0.127,0.974,40.25,1085.00,873.00,-850.00,3085.0000
8575,22.14,54.76,22.57,102654,-4.977,11.145,-11.901,-0.211,-0.104,0.963,40.25,1105.00,878.00,-867.00,3087.0000
8649,22.15,54.79,22.58,102653,-8.069,6.015,4.008,-0.185,-0.071,0.921,40.39,1123.00,840.00,-852.00,3085.0000
8723,22.15,54.84,22.58,102653,-1.649,0.328,17.489,-0.203,-0.097,1.000,40.39,1123.00,845.00,-840.00,3083.0000
8802,22.16,54.87,22.60,102653,3.695,-2.466,23.084,-0.184,-0.149,0.979,40.39,1131.00,845.00,-852.00,3085.0000
8876,22.17,54.88,22.61,102649,-1.725,1.748,20.695,-0.160,-0.196,0.951,40.25,1147.00,811.00,-855.00,3083.0000
8950,22.17,54.89,22.61,102649,8.298,7.565,21.305,-0.189,-0.173,0.963,40.34,1155.00,788.00,-862.00,3083.0000
9024,22.19,54.94,22.63,102647,0.679,8.084,13.672,-0.194,-0.140,0.973,40.34,1167.00,767.00,-860.00,3087.0000
9098,22.19,54.98,22.63,102647,-4.008,4.855,18.878,-0.288,-0.154,1.077,40.53,1198.00,760.00,-850.00,3087.0000
9177,22.18,55.01,22.64,102653,-19.641,-9.305,18.160,-0.239,-0.122,0.990,40.34,1236.00,747.00,-832.00,3085.0000
9251,22.20,55.05,22.64,102653,-26.183,-14.275,26.924,-0.291,-0.152,1.051,40.25,1265.00,765.00,-805.00,3086.0000
9325,22.20,55.09,22.65,102660,-24.618,-15.573,28.359,-0.209,-0.174,0.942,40.44,1316.00,752.00,-770.00,3085.0000
9399,22.23,55.09,22.65,102660,-3.672,-24.588,34.809,-0.252,-0.117,1.005,40.44,1335.00,757.00,-757.00,3085.0000
9478,22.21,55.15,22.66,102656,0.344,-33.557,56.786,-0.172,-0.089,0.938,40.39,1373.00,752.00,-725.00,3088.0000
9552,22.22,55.14,22.66,102656,-2.092,-33.282,81.397,-0.175,-0.025,0.983,40.39,1423.00,695.00,-720.00,3086.0000
9628,22.23,55.17,22.67,102657,-12.954,-29.649,91.145,-0.146,-0.047,0.948,40.53,1465.00,621.00,-692.00,3085.0000
9808,22.17,55.29,22.68,102657,14.611,-25.893,79.733,-0.107,-0.277,0.957,40.39,1493.00,481.00,-677.00,3086.0000
9982,22.15,55.24,22.68,102656,-7.878,-19.351,2.817,-0.060,-0.299,0.834,40.34,1433.00,430.00,-712.00,3085.0000
10378,22.08,55.38,22.68,102657,-19.687,1.137,48.382,-0.001,-0.220,1.000,40.39,1431.00,220.00,-667.00,3087.0000
10539,22.09,55.49,22.68,102654,0.511,-11.328,58.481,-0.110,-0.274,1.151,40.39,1405.00,130.00,-638.00,3086.0000
10656,22.12,55.46,22.69,102654,-7.794,-24.786,28.779,-0.080,-0.191,1.010,40.25,1383.00,117.00,-650.00,3086.0000
10730,22.16,55.42,22.69,102654,-1.687,-6.176,35.832,-0.164,-0.113,1.083,40.39,1381.00,93.00,-633.00,3085.0000
10804,22.21,55.44,22.69,102653,-13.084,0.969,21.618,-0.064,-0.113,0.848,40.44,1378.00,86.00,-603.00,3088.0000
10883,22.20,55.48,22.69,102653,-10.176,-3.664,2.916,0.050,-0.114,0.820,40.34,1381.00,86.00,-611.00,3083.0000
10957,22.22,55.47,22.69,102655,-13.198,7.977,15.855,0.058,-0.142,0.984,40.34,1378.00,81.00,-598.00,3086.0000
11031,22.25,55.50,22.69,102655,-20.099,-8.496,-7.588,0.039,-0.207,0.984,40.25,1383.00,96.00,-583.00,3086.0000
11105,22.26,55.51,22.70,102651,43.000,-18.718,25.198,-0.077,-0.243,1.133,40.39,1330.00,72.00,-623.00,3084.0000
11184,22.25,55.55,22.70,102651,27.947,-6.229,44.115,-0.189,-0.221,1.227,40.34,1291.00,60.00,-621.00,3085.0000
11258,22.26,55.53,22.71,102657,16.061,13.985,48.000,-0.070,-0.156,1.002,40.25,1233.00,-13.00,-665.00,3083.0000
11332,22.27,55.59,22.71,102657,-6.534,10.832,42.321,-0.138,-0.087,0.831,40.44,1220.00,-50.00,-657.00,3084.0000
11406,22.28,55.64,22.72,102656,-2.321,-12.069,46.809,-0.144,-0.066,0.748,40.34,1196.00,-83.00,-662.00,3087.0000
11480,22.29,55.62,22.72,102656,12.695,-19.382,36.183,-0.094,-0.079,0.884,40.44,1171.00,-106.00,-692.00,3086.0000
11571,22.27,55.71,22.73,102654,-10.794,-10.267,55.015,-0.034,-0.074,1.029,40.39,1123.00,-137.00,-715.00,3085.0000
11658,22.26,55.70,22.73,102654,-22.962,-7.550,61.962,-0.159,-0.104,1.209,40.20,1090.00,-207.00,-707.00,3085.0000
11732,22.27,55.71,22.73,102654,-9.298,-11.046,95.557,-0.190,-0.029,1.267,40.44,1042.00,-232.00,-707.00,3083.0000
11806,22.28,55.72,22.73,102654,-21.099,-4.076,61.061,-0.135,0.006,0.987,40.34,1017.00,-287.00,-707.00,3087.0000
11885,22.28,55.80,22.73,102653,-17.519,2.038,64.382,-0.013,-0.036,0.774,40.20,1008.00,-318.00,-707.00,3087.0000
11959,22.31,55.80,22.73,102653,2.916,-7.626,46.344,0.006,-0.078,0.825,40.39,972.00,-341.00,-737.00,3088.0000
12033,22.30,55.81,22.74,102653,-2.947,-11.985,29.947,0.016,-0.068,0.885,40.44,948.00,-321.00,-765.00,3085.0000
12107,22.31,55.81,22.74,102653,-10.557,-13.603,17.824,-0.035,-0.095,1.024,40.44,965.00,-302.00,-755.00,3086.0000
12181,22.32,55.81,22.74,102653,-8.885,-11.443,-6.603,-0.082,-0.145,1.232,40.44,970.00,-280.00,-787.00,3087.0000
12260,22.31,55.84,22.74,102653,-0.557,-13.160,30.802,-0.344,-0.186,1.157,40.39,970.00,-256.00,-785.00,3085.0000
