now[ms],AHT_tmp[C],AHT_hum,BMP_temp[C],BMP_pres,gx,gy,gz,ax,ay,az,gtemp,magx,magy,magz,volt
3560,0.00,0.00,0.00,0,1.656,1.664,-0.260,-0.095,-0.132,0.992,41.30,1188.00,677.00,-892.00,3097.0000
3589,0.00,0.00,0.00,0,1.641,1.618,-0.214,-0.095,-0.135,0.993,41.31,1186.00,675.00,-890.00,3097.0000
3633,0.00,0.00,0.00,0,1.618,1.672,-0.198,-0.099,-0.131,0.995,41.32,1181.00,675.00,-882.00,3099.0000
3662,0.00,0.00,0.00,0,1.687,1.649,-0.267,-0.099,-0.129,0.984,41.31,1196.00,672.00,-890.00,3099.0000
3691,0.00,0.00,0.00,0,1.611,1.595,-0.252,-0.100,-0.132,0.997,41.31,1183.00,682.00,-887.00,3100.0000
3720,0.00,0.00,0.00,0,1.573,1.618,-0.229,-0.096,-0.133,0.990,41.30,1181.00,667.00,-887.00,3098.0000
3749,0.00,0.00,0.00,0,1.603,1.603,-0.191,-0.094,-0.127,0.994,41.30,1186.00,675.00,-890.00,3097.0000
3783,0.00,0.00,0.00,0,1.618,1.664,-0.229,-0.095,-0.132,0.997,41.31,1186.00,667.00,-890.00,3098.0000
3812,0.00,0.00,0.00,0,1.649,1.603,-0.214,-0.094,-0.128,0.994,41.31,1196.00,682.00,-887.00,3098.0000
3841,0.00,0.00,0.00,0,1.649,1.664,-0.191,-0.098,-0.130,0.988,41.30,1191.00,682.00,-900.00,3098.0000
3870,0.00,0.00,0.00,0,1.611,1.580,-0.206,-0.099,-0.132,0.989,41.31,1191.00,672.00,-880.00,3099.0000
3899,0.00,0.00,0.00,0,1.649,1.718,-0.191,-0.102,-0.134,0.986,41.31,1191.00,675.00,-892.00,3099.0000
3928,0.00,0.00,0.00,0,1.710,1.603,-0.229,-0.094,-0.128,0.996,41.31,1200.00,685.00,-895.00,3098.0000
3971,0.00,0.00,0.00,0,1.595,1.588,-0.176,-0.108,-0.133,1.005,41.30,1191.00,687.00,-885.00,3101.0000
4000,0.00,0.00,0.00,0,1.618,1.588,-0.206,-0.094,-0.127,0.989,41.31,1193.00,685.00,-897.00,3095.0000
4029,0.00,0.00,0.00,0,1.695,1.664,-0.267,-0.096,-0.130,0.995,41.30,1193.00,687.00,-897.00,3097.0000
4070,0.00,0.00,0.00,0,1.618,1.618,-0.191,-0.098,-0.134,0.988,41.31,1181.00,675.00,-895.00,3100.0000
4108,0.00,0.00,0.00,0,1.603,1.641,-0.206,-0.100,-0.133,0.993,41.30,1191.00,692.00,-882.00,3100.0000
4142,0.00,0.00,0.00,0,1.672,1.656,-0.145,-0.101,-0.127,0.987,41.31,1183.00,667.00,-887.00,3099.0000
4171,0.00,0.00,0.00,0,1.573,1.557,-0.221,-0.091,-0.127,0.983,41.32,1188.00,672.00,-887.00,3097.0000
4200,0.00,0.00,0.00,0,1.603,1.626,-0.206,-0.094,-0.139,0.994,41.30,1193.00,667.00,-892.00,3096.0000
4228,0.00,0.00,0.00,0,1.649,1.504,-0.244,-0.095,-0.132,0.989,41.31,1198.00,685.00,-890.00,3098.0000
4257,0.00,0.00,0.00,0,1.595,1.603,-0.275,-0.096,-0.133,0.984,41.29,1181.00,662.00,-897.00,3098.0000
4291,0.00,0.00,0.00,0,1.573,1.557,-0.244,-0.096,-0.128,0.977,41.30,1200.00,677.00,-887.00,3099.0000
4320,0.00,0.00,0.00,0,1.649,1.664,-0.267,-0.099,-0.130,0.997,41.29,1191.00,670.00,-892.00,3095.0000
4349,0.00,0.00,0.00,0,1.687,1.649,-0.221,-0.094,-0.134,0.984,41.31,1196.00,672.00,-877.00,3097.0000
4378,0.00,0.00,0.00,0,1.664,1.557,-0.229,-0.096,-0.129,0.990,41.32,1188.00,682.00,-895.00,3101.0000
4407,0.00,0.00,0.00,0,1.656,1.618,-0.229,-0.101,-0.133,0.991,41.31,1198.00,685.00,-895.00,3101.0000
4441,0.00,0.00,0.00,0,1.573,1.840,-0.267,-0.098,-0.135,0.993,41.31,1173.00,698.00,-900.00,3099.0000
4470,0.00,0.00,0.00,0,1.649,1.504,-0.260,-0.096,-0.127,0.989,41.30,1198.00,677.00,-887.00,3099.0000
4498,0.00,0.00,0.00,0,1.634,1.733,-0.237,-0.098,-0.131,0.986,41.30,1186.00,672.00,-897.00,3097.0000
4527,0.00,0.00,0.00,0,1.672,1.679,-0.237,-0.095,-0.131,0.994,41.31,1181.00,670.00,-895.00,3098.0000
4556,0.00,0.00,0.00,0,1.679,1.519,-0.252,-0.095,-0.132,0.990,41.30,1198.00,680.00,-882.00,3099.0000
4591,0.00,0.00,0.00,0,1.595,1.740,-0.229,-0.098,-0.132,0.991,41.29,1193.00,677.00,-882.00,3099.0000
4630,0.00,0.00,0.00,0,1.603,1.649,-0.214,-0.095,-0.138,0.993,41.30,1193.00,675.00,-882.00,3099.0000
4658,0.00,0.00,0.00,0,1.664,1.519,-0.275,-0.096,-0.129,0.985,41.31,1186.00,665.00,-880.00,3098.0000
4687,0.00,0.00,0.00,0,1.595,1.740,-0.221,-0.097,-0.132,0.988,41.31,1200.00,677.00,-882.00,3098.0000
4716,0.00,0.00,0.00,0,1.649,1.611,-0.229,-0.095,-0.134,0.991,41.30,1193.00,662.00,-892.00,3098.0000
4750,0.00,0.00,0.00,0,1.618,1.611,-0.252,-0.095,-0.130,0.997,41.31,1178.00,670.00,-887.00,3099.0000
4779,0.00,0.00,0.00,0,1.603,1.733,-0.229,-0.096,-0.128,0.988,41.30,1186.00,685.00,-900.00,3099.0000
4808,0.00,0.00,0.00,0,1.672,1.618,-0.206,-0.097,-0.130,0.989,41.30,1196.00,670.00,-905.00,3099.0000
4837,0.00,0.00,0.00,0,1.595,1.664,-0.191,-0.095,-0.134,0.990,41.30,1198.00,682.00,-882.00,3101.0000
4866,0.00,0.00,0.00,0,1.656,1.725,-0.214,-0.097,-0.135,0.992,41.30,1193.00,692.00,-892.00,3099.0000
4902,0.00,0.00,0.00,0,1.618,1.656,-0.260,-0.099,-0.130,0.990,41.29,1186.00,675.00,-892.00,3101.0000
4931,0.00,0.00,0.00,0,1.649,1.710,-0.282,-0.098,-0.128,0.995,41.29,1202.00,670.00,-875.00,3100.0000
4959,0.00,0.00,0.00,0,1.687,1.603,-0.252,-0.097,-0.130,0.988,41.31,1181.00,672.00,-890.00,3099.0000
4988,0.00,0.00,0.00,0,1.649,1.626,-0.252,-0.098,-0.131,0.991,41.30,1178.00,677.00,-870.00,3095.0000
5017,0.00,0.00,0.00,0,1.649,1.634,-0.244,-0.095,-0.129,0.999,41.31,1196.00,677.00,-870.00,3099.0000
5051,0.00,0.00,0.00,0,1.603,1.611,-0.221,-0.098,-0.130,0.991,41.30,1183.00,667.00,-890.00,3099.0000
5080,0.00,0.00,0.00,0,1.649,1.656,-0.214,-0.095,-0.132,0.981,41.31,1186.00,685.00,-892.00,3102.0000
5108,0.00,0.00,0.00,0,1.649,1.664,-0.176,-0.096,-0.131,0.991,41.32,1196.00,682.00,-892.00,3099.0000
5137,0.00,0.00,0.00,0,1.588,1.588,-0.191,-0.095,-0.133,0.988,41.31,1178.00,672.00,-895.00,3095.0000
5166,0.00,0.00,0.00,0,1.626,1.588,-0.275,-0.099,-0.132,0.993,41.30,1193.00,685.00,-882.00,3099.0000
5215,0.00,0.00,0.00,0,1.626,1.588,-0.214,-0.093,-0.132,0.988,41.31,1181.00,682.00,-895.00,3100.0000
5256,0.00,0.00,0.00,0,1.641,1.641,-0.206,-0.096,-0.130,0.994,41.30,1191.00,670.00,-895.00,3098.0000
5284,0.00,0.00,0.00,0,1.649,1.649,-0.237,-0.098,-0.135,0.999,41.30,1188.00,677.00,-882.00,3098.0000
5313,0.00,0.00,0.00,0,1.672,1.641,-0.237,-0.093,-0.133,0.987,41.31,1188.00,667.00,-892.00,3099.0000
5342,0.00,0.00,0.00,0,1.710,1.618,-0.183,-0.098,-0.132,0.992,41.30,1181.00,680.00,-907.00,3099.0000
5371,0.00,0.00,0.00,0,1.649,1.664,-0.198,-0.095,-0.133,0.999,41.31,1181.00,682.00,-872.00,3098.0000
5404,0.00,0.00,0.00,0,1.664,1.672,-0.198,-0.097,-0.136,0.994,41.32,1183.00,682.00,-895.00,3098.0000
5433,0.00,0.00,0.00,0,1.649,1.634,-0.168,-0.096,-0.133,0.985,41.31,1191.00,672.00,-892.00,3095.0000
5462,0.00,0.00,0.00,0,1.595,1.695,-0.275,-0.098,-0.134,0.990,41.32,1178.00,660.00,-887.00,3125.0000
5491,0.00,0.00,0.00,0,1.656,1.649,-0.221,-0.094,-0.131,0.988,41.30,1167.00,675.00,-890.00,3097.0000
5520,0.00,0.00,0.00,0,1.618,1.679,-0.221,-0.101,-0.134,0.993,41.32,1193.00,685.00,-910.00,3095.0000
5553,0.00,0.00,0.00,0,1.573,1.679,-0.198,-0.100,-0.127,0.985,41.31,1183.00,667.00,-897.00,3098.0000
5582,0.00,0.00,0.00,0,1.664,1.603,-0.237,-0.093,-0.128,0.994,41.30,1181.00,670.00,-895.00,3099.0000
5611,0.00,0.00,0.00,0,1.710,1.725,-0.229,-0.097,-0.132,0.991,41.29,1176.00,677.00,-885.00,3098.0000
5650,0.00,0.00,0.00,0,1.580,1.802,-0.198,-0.098,-0.132,0.983,41.30,1178.00,672.00,-897.00,3100.0000
5679,0.00,0.00,0.00,0,1.687,1.542,-0.260,-0.092,-0.132,0.994,41.30,1181.00,675.00,-895.00,3099.0000
5713,0.00,0.00,0.00,0,1.702,1.519,-0.214,-0.095,-0.134,0.989,41.31,1183.00,677.00,-892.00,3099.0000
5742,0.00,0.00,0.00,0,1.656,1.679,-0.221,-0.094,-0.131,0.988,41.32,1181.00,682.00,-890.00,3098.0000
5785,0.00,0.00,0.00,0,1.702,1.634,-0.153,-0.094,-0.132,0.993,41.30,1198.00,685.00,-892.00,3098.0000
5814,0.00,0.00,0.00,0,1.710,1.550,-0.198,-0.095,-0.130,0.993,41.31,1183.00,662.00,-890.00,3100.0000
5843,0.00,0.00,0.00,0,1.611,1.649,-0.153,-0.095,-0.131,0.992,41.31,1191.00,675.00,-892.00,3098.0000
5877,0.00,0.00,0.00,0,1.664,1.603,-0.198,-0.096,-0.132,0.991,41.31,1193.00,672.00,-900.00,3099.0000
5906,0.00,0.00,0.00,0,1.656,1.687,-0.176,-0.093,-0.132,0.993,41.30,1188.00,695.00,-892.00,3098.0000
5935,0.00,0.00,0.00,0,1.672,1.687,-0.198,-0.095,-0.132,0.996,41.31,1188.00,690.00,-887.00,3099.0000
